,timestamp,KOZAA.E_price_change,KOZAL.E_price_change
0,2022-01-03 08:35:38.804488,0.3717472118959009,0.0
1,2022-01-05 14:05:59.648328,0.49358341559724295,0.08084074373484462
2,2022-01-06 10:54:28.029907,0.38797284190106307,0.0
3,2022-01-10 07:50:23.995095,0.38610038610038533,0.07936507936507908
4,2022-01-17 07:09:46.176336,0.36832412523020164,0.07710100231304029
5,2022-01-17 11:19:53.010605,0.4332755632582286,0.07385524372229835
6,2022-01-21 07:42:27.685206,0.3568242640499486,0.0
7,2022-01-24 11:01:33.397867,0.36429872495447047,0.15785319652723562
8,2022-01-28 09:00:04.938417,0.340136054421758,"Series([], dtype: float64)"
9,2022-02-01 14:40:05.252205,0.34602076124568004,0.0
10,2022-02-03 13:59:16.902181,0.5499541704858002,0.0794281175536149
11,2022-02-08 08:00:11.318747,0.7352941176470562,"Series([], dtype: float64)"
12,2022-02-24 07:37:42.407413,0.4990019960079861,-0.17196904557179593
13,2022-02-25 07:00:01.551785,0.5615109749872449,0.4444444444444473
14,2022-02-25 07:00:03.643299,0.5102040816326481,0.5333333333333412
15,2022-03-07 07:00:03.657503,0.35460992907800915,0.30864197530864335
16,2022-03-08 07:00:16.741165,0.32388663967610754,0.6493506493506551
17,2022-03-08 07:00:19.349462,0.32388663967610754,0.7194244604316502
18,2022-03-08 07:01:03.632892,0.3225806451612856,-0.5726556907659219
19,2022-03-08 07:01:10.853151,0.3223207091055613,0.501792114695343
20,2022-03-08 07:01:27.353235,0.3223207091055613,-0.35945363048166534
21,2022-03-08 07:05:05.138918,0.3197442046362964,0.35360678925036026
22,2022-03-09 07:00:33.705580,0.3679175864606421,0.33512064343164116
23,2022-03-09 07:08:54.981108,0.3759398496240518,-0.13513513513514486
24,2022-03-09 07:08:57.757172,0.3005259203606281,-0.20283975659229903
25,2022-03-09 07:09:04.995549,0.30030030030030463,0.3385240352064889
26,2022-03-09 08:06:13.064958,0.30935808197989356,0.06896551724138167
27,2022-03-09 08:37:27.446722,0.31055900621117516,0.13956734124214165
28,2022-03-09 08:38:39.888836,0.30935808197989356,0.06983240223463749
29,2022-03-09 13:16:43.768184,0.31695721077653616,"Series([], dtype: float64)"
30,2022-03-10 07:09:10.945040,0.3159557661927437,0.21474588403722628
31,2022-03-11 07:15:10.762757,0.31152647975076775,0.1394700139470073
32,2022-03-11 10:12:52.909511,0.3028009084027339,0.0
33,2022-03-11 13:00:02.398168,0.8814102564102644,0.1413427561837377
34,2022-03-11 13:00:02.398900,0.3177124702144596,0.1413427561837377
35,2022-03-11 13:13:10.155759,0.3197442046362964,-0.07062146892655718
36,2022-03-14 14:59:17.691182,0.33333333333334103,-0.07336757153337814
37,2022-03-15 07:07:28.687381,0.41356492969395475,-0.14598540145984717
38,2022-03-23 08:13:20.006220,0.3039513677811634,0.0
39,2022-04-04 07:52:50.569845,0.3599712023038215,-0.1971090670170872
40,2022-04-04 08:00:37.104271,0.35612535612534746,-0.19430051813471572
41,2022-04-12 07:01:45.460344,0.34129692832765013,0.2522068095838659
42,2022-04-13 07:00:02.780494,0.31948881789136685,1.403508771929829
43,2022-04-13 07:00:06.384998,0.4481434058898781,1.2865497076023358
44,2022-04-13 07:00:07.015262,0.6393861892583175,-1.2865497076023358
45,2022-04-13 07:00:12.111457,0.3209242618742003,0.873616773442043
46,2022-04-13 07:00:13.889366,0.5121638924455718,-0.8149010477299212
47,2022-04-13 07:00:58.849027,0.31948881789136685,-0.3490401396160525
48,2022-04-13 11:43:30.702539,0.3215434083601254,0.29850746268655914
49,2022-04-14 07:00:07.876313,0.381436745073116,0.3552397868561208
50,2022-04-14 07:02:01.031310,0.38046924540267035,-0.17804154302669684
51,2022-04-18 07:19:21.648883,0.30030030030030463,-0.17152658662091813
52,2022-04-25 07:00:00.456021,0.920447074293218,0.3671970624234966
53,2022-04-25 07:00:00.751260,0.4587155963302836,0.3671970624234966
54,2022-05-12 09:47:06.313642,0.3674219228414044,0.0
55,2022-05-18 13:59:57.372287,0.31172069825435855,0.0
56,2022-06-03 14:59:49.453415,0.3209242618742003,0.29970029970030065
57,2022-06-07 14:59:33.794678,0.3807106598984866,0.09803921568627416
58,2022-06-08 14:36:19.040059,0.4761904761904745,-0.31562335612835835
