timestamp,AKBNK.E_price_change,YKBNK.E_price_change,interval
2022-02-24_07:33:32.546033,0.6839945280437743,0,0
2022-02-24_07:35:08.474280,0.5524861878453136,0.0,0.150019
2022-08-18_11:00:31.891434,0.7136485280999194,0,0
2022-08-18_11:00:34.578988,0.5371530886302489,0.0,0.195004
2022-08-22_07:00:00.390609,0.7677543186180413,-0.5347593582887722,0.021182
2022-08-22_07:00:01.735654,0.8670520231213841,0.0,0.189303
2022-09-12_07:00:07.584557,0.5418422636965792,-0.31185031185030354,0.062171
2022-09-12_07:18:03.461438,0.6785934608266597,-0.21551724137931494,0.043532
2022-09-13_07:10:13.431343,0.5178365937859697,-0.10351966873705098,0.001466
2022-09-13_09:38:26.829829,0.5449591280654031,0.0,0.001528
2022-09-13_09:38:52.488361,0.7559395248380119,-0.21008403361344463,0.005611
2022-09-13_09:38:52.491122,0.6966773847802754,-0.21008403361344463,0.00285
2022-09-13_09:38:52.491988,2.4271844660194164,-0.21008403361344463,0.001984
2022-09-13_14:37:45.072995,0.657108721624855,0,0
2022-09-14_07:18:47.238482,0.5256241787122251,0.3717472118959009,0.277192
2022-09-14_07:18:48.213178,0.588235294117645,0,0
2022-09-16_07:00:05.263274,0.5029337803855727,-0.14727540500736325,0.173734
2022-09-16_07:01:14.978706,0.8403361344537785,0.15151515151514694,0.080382
2022-09-16_07:05:55.395795,0.7413509060955503,0.14662756598240456,0.011778
2022-09-16_07:29:17.342919,0.8130081300812941,0.13986013986013734,0.241752
2022-09-19_07:00:21.777796,0.5728314238952592,0,0
2022-09-19_07:00:23.675309,0.5728314238952592,0,0
2022-09-19_07:00:24.554000,0.5728314238952592,0.0,0.092061
2022-09-19_07:00:25.079695,0.654664484451728,-0.13568521031208647,0.039986
2022-09-20_07:00:00.095637,0.7880910683012221,-0.14285714285713347,0.264746
2022-09-20_07:00:02.570124,0.5176876617773996,0.5689900426742556,0.097834
2022-10-04_07:00:00.140036,0.5468749999999911,0.496894409937898,0.255547
2022-12-14_14:59:09.724333,0.5232558139534937,0,0
2022-12-19_07:00:26.857190,0.5208333333333259,0,0
2022-12-20_07:00:04.442969,0.5893909626718985,0.3949447077409074,0.139176
2023-01-11_07:00:02.772438,0.7593457943925186,-0.520291363163361,0.115585
2023-01-12_10:40:36.251172,0.6377551020408267,0,0
2023-01-12_10:40:40.512530,0.8269720101781175,0.0,0.137218
2023-01-12_10:40:44.713227,0.8264462809917328,0.0,0.001237
2023-01-12_10:41:36.155281,0.8264462809917328,0,0
2023-01-12_10:41:53.503236,0.5089058524172962,0.0,0.032436
2023-01-12_13:26:01.049513,0.6101281269066394,0.11210762331839152,0.034789
2023-01-12_14:25:44.475465,0.7874015748031482,-0.33670033670034627,0.128839
2023-01-12_14:25:44.476498,1.0895883777239712,-0.33670033670034627,0.127806
2023-02-06_07:00:02.730537,0.5025125628140614,-0.3436426116838476,0.006979
2023-02-06_07:00:17.604613,0.5667506297229119,0,0
2023-02-06_08:57:58.189586,0.621504039776255,0,0
2023-02-06_10:48:13.552358,0.6935687263556201,0,0
2023-02-06_12:01:54.927774,0.6361323155216203,0,0
2023-02-06_13:41:43.640996,0.5736137667303964,0,0
2023-02-06_14:43:22.411275,0.6773399014778247,0,0
2023-02-06_14:44:01.901746,0.5504587155963359,0,0
2023-02-07_14:12:57.889138,0.5401755570560329,0.0,0.004696
2023-02-08_07:42:01.366088,0.7965242577842035,0.7702182284980763,0.254673
2023-02-08_07:42:01.431965,0.5068790731354023,-0.7702182284980763,0.188796
2023-02-08_07:42:01.441074,0.7965242577842035,-0.7702182284980763,0.179687
2023-02-08_07:42:01.451306,0.7965242577842035,-0.7702182284980763,0.169455
2023-02-15_07:00:03.913339,0.5131494547786941,0.465657741559955,0.048698
2023-02-15_07:00:08.530389,0.6410256410256387,0.6984866123399325,0.122028
2023-02-15_07:00:25.842136,0.6410256410256387,0,0
2023-02-15_07:02:09.473084,0.5154639175257714,0,0
2023-02-15_07:02:09.915264,0.5154639175257714,0.11641443538998875,0.267776
2023-02-15_07:02:17.618309,0.5802707930367523,0.0,0.005879
2023-02-16_07:01:09.904375,0.6399069226294296,0,0
2023-04-28_14:52:01.288439,0.7485963817841501,0.0,0.00068
2023-05-12_07:10:27.927159,0.5795574288725014,-0.0841042893187538,0.249884
2023-05-12_14:22:31.340543,0.6227296315516329,0.08688097306690512,0.259497
2023-05-26_14:03:00.697074,0.6830601092896238,-0.10845986984815426,0.020208
2023-05-26_14:03:00.700565,1.2311901504787892,-0.10845986984815426,0.016717
2023-05-26_14:03:00.704450,1.9138755980861344,-0.10845986984815426,0.012832
2023-05-26_14:03:00.707776,3.283173734610134,-0.10845986984815426,0.009506
2023-05-26_14:03:00.711767,4.651162790697683,-0.10845986984815426,0.005515
2023-05-26_14:03:00.716620,6.1224489795918435,-0.10845986984815426,0.000662
2023-05-26_14:03:00.718114,0.5468215994531844,0.10845986984815426,0.136395
2023-05-26_14:03:00.720733,7.518796992481214,0.10845986984815426,0.133776
2023-05-26_14:03:00.724877,7.372013651877141,0.10845986984815426,0.129632
2023-05-30_07:00:01.519040,0.5787781350482302,-0.5122950819672178,0.199915
2023-05-30_07:00:01.579825,0.5787781350482302,-0.5122950819672178,0.13913
2023-05-30_07:00:01.580145,0.5141388174807249,-0.5122950819672178,0.13881
