timestamp,ISCTR.E_price_change,YKBNK.E_price_change,interval
2022-04-11_11:31:53.055926,0.665399239543718,0.0,0.005917
2022-06-14_07:00:04.781329,0.5940594059405946,0.0,0.165132
2022-07-04_07:00:00.416931,0.6607929515418443,0.0,0.257241
2022-07-13_12:34:37.302191,0.6741573033707926,0.0,0.000478
2022-08-23_07:06:49.641307,0.5277044854881341,0.0,0.000402
2022-08-24_12:07:01.039177,0.5102040816326481,0.0,0.016031
2022-08-24_12:07:01.040976,0.5108556832694733,0.0,0.014232
2022-08-24_12:07:01.054061,0.5095541401273884,0.0,0.001147
2022-09-06_08:21:12.420191,0.50761421319796,0.0,0.0
2022-09-06_08:52:13.123424,0.5045408678102881,0.0,0.068673
2022-09-12_07:00:00.166374,0.5251312828207011,-0.20920502092049986,0.315924
2022-09-14_07:00:05.200579,0.5639097744360999,-0.6009615384615419,0.265817
2022-09-14_07:00:06.403591,0.5649717514124353,-0.9638554216867545,0.108133
2022-09-15_07:50:18.570006,0.5154639175257714,0.0,0.315265
2022-09-15_07:56:37.395060,0.5268703898840821,0.0,0.004037
2022-09-15_07:56:37.397701,0.8403361344537785,0.0,0.001396
2022-09-15_07:56:37.398330,0.7291666666666696,0.0,0.000767
2022-09-15_07:56:37.399978,1.2552301255230214,0.0,0.030367
2022-09-16_07:00:11.852851,1.7857142857142794,0.0,0.227943
2022-09-16_07:00:14.592077,0.5988023952095745,0.0,0.183406
2022-10-20_07:00:02.311708,0.6012024048096087,-0.5181347150259086,0.056634
2022-10-20_07:00:02.356935,0.6012024048096087,-0.5181347150259086,0.011407
2022-11-16_07:00:34.775364,0.5144032921810648,-0.18691588785046953,0.205728
2022-12-13_07:00:04.013631,0.6233303650934996,0.2577319587628857,0.267019
2022-12-15_07:00:38.923511,0.5235602094240788,0.0,0.079989
2022-12-20_07:00:09.120357,0.6686478454680511,-0.47505938242280443,0.249205
2023-01-12_14:25:44.544710,0.6517690875232685,-0.33670033670034627,0.059594
2023-02-06_07:00:05.037800,0.7766990291262044,0.8018327605956443,0.356725
2023-02-06_07:00:06.130778,0.7766990291262044,0.8000000000000007,0.089751
2023-02-06_07:00:06.796522,0.7766990291262044,0.0,0.00652
2023-02-06_07:00:51.840615,0.5853658536585371,0.0,0.0
2023-02-06_08:27:58.393771,0.5899705014749346,0.0,0.0
2023-02-06_11:45:20.205031,0.5025125628140614,0.0,0.0
2023-02-06_12:40:02.313769,0.6930693069306937,0.0,0.0
2023-02-06_12:57:04.234513,0.5847953216374213,0.0,0.0
2023-02-15_07:00:02.245886,0.5825242718446644,0.2331002331002363,0.294221
2023-02-15_07:00:16.171046,0.6802721088435382,0.0,0.368222
2023-02-15_07:00:16.753797,0.8763388510223846,0.11494252873562871,0.104904
2023-02-15_07:00:21.505910,0.7843137254901933,0.22988505747125743,0.132302
2023-02-15_07:00:22.782081,0.6856023506366382,0.22988505747125743,0.450002
2023-02-15_07:00:24.670425,1.179941002949847,0.11494252873562871,0.304482
2023-02-15_07:00:25.895510,0.5830903790087438,0.3452243958573131,0.353647
2023-02-15_07:00:29.092847,1.0763209393346296,0.11560693641619046,0.147891
2023-02-15_07:00:32.104896,2.182539682539675,-0.5813953488372103,0.128456
2023-02-15_07:00:45.110687,0.5905511811023612,0.11560693641619046,0.063521
2023-02-15_07:00:57.728522,0.5911330049261032,-0.465657741559955,0.008736
2023-02-15_07:04:46.793454,0.5859375,0.0,0.033376
2023-02-15_07:10:28.752505,0.8687258687258614,0.0,0.0
2023-02-16_07:00:15.139920,0.6178287731685828,-0.4158004158004047,0.229656
2023-02-16_07:00:22.475337,0.5291005291005346,-0.10362694300518616,0.277824
2023-02-16_07:07:44.317371,0.5366726296958779,-0.10449320794148065,0.111214
2023-02-16_07:10:05.666029,0.6300630063006407,-0.21276595744681437,0.129737
2023-02-16_07:22:36.880837,0.7111111111111068,0.0,0.363235
2023-02-16_07:24:14.886869,1.073345259391778,-0.21074815595363283,0.119262
2023-02-16_09:15:09.662663,0.5424954792043302,0.0,0.0
2023-04-04_07:00:50.812242,0.5747126436781658,0.0,0.000636
